matchNumber,stage,group,home,away,localDate,localTime,venue,city,country,venueTimeZone,utc
"69","Group J","J","Algeria","Austria","2026-06-27","21:00","Arrowhead Stadium","Kansas City","United States","America/Chicago","2026-06-28T02:00:00.000Z"
"70","Group J","J","Jordan","Argentina","2026-06-27","21:00","AT&T Stadium","Dallas","United States","America/Chicago","2026-06-28T02:00:00.000Z"
"71","Group K","K","Colombia","Portugal","2026-06-27","19:30","Hard Rock Stadium","Miami","United States","America/New_York","2026-06-27T23:30:00.000Z"
"72","Group K","K","DR Congo","Uzbekistan","2026-06-27","19:30","Mercedes-Benz Stadium","Atlanta","United States","America/New_York","2026-06-27T23:30:00.000Z"
"73","Round of 32","","Group A runners-up","Group B runners-up","2026-06-28","12:00","SoFi Stadium","Los Angeles","United States","America/Los_Angeles","2026-06-28T19:00:00.000Z"
"74","Round of 32","","Group E winners","Group A/B/C/D/F third place","2026-06-29","16:30","Gillette Stadium","Boston","United States","America/New_York","2026-06-29T20:30:00.000Z"
"75","Round of 32","","Group F winners","Group C runners-up","2026-06-29","19:00","Estadio BBVA","Monterrey","Mexico","America/Mexico_City","2026-06-30T01:00:00.000Z"
"76","Round of 32","","Group C winners","Group F runners-up","2026-06-29","12:00","NRG Stadium","Houston","United States","America/Chicago","2026-06-29T17:00:00.000Z"
"77","Round of 32","","Group I winners","Group C/D/F/G/H third place","2026-06-30","17:00","MetLife Stadium","New York / New Jersey","United States","America/New_York","2026-06-30T21:00:00.000Z"
"78","Round of 32","","Group E runners-up","Group I runners-up","2026-06-30","12:00","AT&T Stadium","Dallas","United States","America/Chicago","2026-06-30T17:00:00.000Z"
"79","Round of 32","","Group A winners","Group C/E/F/H/I third place","2026-06-30","19:00","Estadio Azteca","Mexico City","Mexico","America/Mexico_City","2026-07-01T01:00:00.000Z"
"80","Round of 32","","Group L winners","Group E/H/I/J/K third place","2026-07-01","12:00","Mercedes-Benz Stadium","Atlanta","United States","America/New_York","2026-07-01T16:00:00.000Z"
"81","Round of 32","","Group D winners","Group B/E/F/I/J third place","2026-07-01","17:00","Levi's Stadium","San Francisco Bay Area","United States","America/Los_Angeles","2026-07-02T00:00:00.000Z"
"82","Round of 32","","Group G winners","Group A/E/H/I/J third place","2026-07-01","13:00","Lumen Field","Seattle","United States","America/Los_Angeles","2026-07-01T20:00:00.000Z"
"83","Round of 32","","Group K runners-up","Group L runners-up","2026-07-02","19:00","BMO Field","Toronto","Canada","America/Toronto","2026-07-02T23:00:00.000Z"
"84","Round of 32","","Group H winners","Group J runners-up","2026-07-02","12:00","SoFi Stadium","Los Angeles","United States","America/Los_Angeles","2026-07-02T19:00:00.000Z"
"85","Round of 32","","Group B winners","Group E/F/G/I/J third place","2026-07-02","20:00","BC Place","Vancouver","Canada","America/Vancouver","2026-07-03T03:00:00.000Z"
"86","Round of 32","","Group J winners","Group H runners-up","2026-07-03","18:00","Hard Rock Stadium","Miami","United States","America/New_York","2026-07-03T22:00:00.000Z"
"87","Round of 32","","Group K winners","Group D/E/I/J/L third place","2026-07-03","20:30","Arrowhead Stadium","Kansas City","United States","America/Chicago","2026-07-04T01:30:00.000Z"
"88","Round of 32","","Group D runners-up","Group G runners-up","2026-07-03","13:00","AT&T Stadium","Dallas","United States","America/Chicago","2026-07-03T18:00:00.000Z"
"89","Round of 16","","Winner Match 74","Winner Match 77","2026-07-04","17:00","Lincoln Financial Field","Philadelphia","United States","America/New_York","2026-07-04T21:00:00.000Z"
"90","Round of 16","","Winner Match 73","Winner Match 75","2026-07-04","12:00","NRG Stadium","Houston","United States","America/Chicago","2026-07-04T17:00:00.000Z"
"91","Round of 16","","Winner Match 76","Winner Match 78","2026-07-05","16:00","MetLife Stadium","New York / New Jersey","United States","America/New_York","2026-07-05T20:00:00.000Z"
"92","Round of 16","","Winner Match 79","Winner Match 80","2026-07-05","18:00","Estadio Azteca","Mexico City","Mexico","America/Mexico_City","2026-07-06T00:00:00.000Z"
"93","Round of 16","","Winner Match 83","Winner Match 84","2026-07-06","14:00","AT&T Stadium","Dallas","United States","America/Chicago","2026-07-06T19:00:00.000Z"
"94","Round of 16","","Winner Match 81","Winner Match 82","2026-07-06","17:00","Lumen Field","Seattle","United States","America/Los_Angeles","2026-07-07T00:00:00.000Z"
"95","Round of 16","","Winner Match 86","Winner Match 88","2026-07-07","12:00","Mercedes-Benz Stadium","Atlanta","United States","America/New_York","2026-07-07T16:00:00.000Z"
"96","Round of 16","","Winner Match 85","Winner Match 87","2026-07-07","13:00","BC Place","Vancouver","Canada","America/Vancouver","2026-07-07T20:00:00.000Z"
"97","Quarter-final","","Winner Match 89","Winner Match 90","2026-07-09","16:00","Gillette Stadium","Boston","United States","America/New_York","2026-07-09T20:00:00.000Z"
"98","Quarter-final","","Winner Match 93","Winner Match 94","2026-07-10","12:00","SoFi Stadium","Los Angeles","United States","America/Los_Angeles","2026-07-10T19:00:00.000Z"
"99","Quarter-final","","Winner Match 91","Winner Match 92","2026-07-11","17:00","Hard Rock Stadium","Miami","United States","America/New_York","2026-07-11T21:00:00.000Z"
"100","Quarter-final","","Winner Match 95","Winner Match 96","2026-07-11","20:00","Arrowhead Stadium","Kansas City","United States","America/Chicago","2026-07-12T01:00:00.000Z"
"101","Semi-final","","Winner Match 97","Winner Match 98","2026-07-14","14:00","AT&T Stadium","Dallas","United States","America/Chicago","2026-07-14T19:00:00.000Z"
"102","Semi-final","","Winner Match 99","Winner Match 100","2026-07-15","15:00","Mercedes-Benz Stadium","Atlanta","United States","America/New_York","2026-07-15T19:00:00.000Z"
"103","Third place","","Loser Match 101","Loser Match 102","2026-07-18","17:00","Hard Rock Stadium","Miami","United States","America/New_York","2026-07-18T21:00:00.000Z"
"104","Final","","Winner Match 101","Winner Match 102","2026-07-19","15:00","MetLife Stadium","New York / New Jersey","United States","America/New_York","2026-07-19T19:00:00.000Z"
